State/UTs,Agriculture and Allied Activities,Rural Development,Special Area Programmes,Irrigation and Flood Control,Energy,Industry and Minerals,Transport,Science Technology and Environment,General Economic Services,Social Services,General Services,Total
State Total,2445541.00,2470167.00,1009320.00,4546044.00,3883260.00,896389.00,4121110.00,385869.00,665433.00,13638033.00,722989.00,34784157.00
Andhra Pradesh,185351.00,403519.00,1545.00,967802.00,53104.00,40482.00,194871.00,3854.00,38541.00,1247864.00,20702.00,3157636.00
Arunachal Pradesh,11195.00,7859.00,11777.00,18641.00,32057.00,2086.00,73653.00,7079.00,13388.00,61683.00,16094.00,255512.00
Assam,56587.00,83846.00,106216.00,71056.00,23362.00,20536.00,52017.00,12027.00,17379.00,223564.00,21721.00,688310.00
Bihar,124030.00,80398.00,97289.00,141155.00,160877.00,25750.00,493279.00,11593.00,34710.00,667706.00,34972.00,1871758.00
Chattisgarh,119661.00,37551.00,38477.00,111018.00,28256.00,22735.00,83875.00,29764.00,9990.00,524009.00,2764.00,1008100.00
Goa,7275.00,5054.00,1245.00,24795.00,19154.00,2830.00,36059.00,6241.00,13418.00,76028.00,18642.00,210740.00
Gujarat,207535.00,108544.00,9559.00,618509.00,334328.00,89885.00,342587.00,49389.00,85989.00,1159398.00,3983.00,3009705.00
Haryana,56100.00,69397.00,2109.00,73203.00,96865.00,4897.00,104178.00,15163.00,17120.00,507905.00,10529.00,957467.00
Himachal Pradesh,33115.00,16800.00,1297.00,31098.00,32594.00,2680.00,53700.00,13447.00,8863.00,110489.00,6407.00,310490.00
Jammu and Kashmir,18945.00,12660.00,33591.00,35973.00,50654.00,10412.00,112238.00,3131.00,29089.00,216306.00,53806.00,576805.00
Jharkhand,41619.00,125171.00,86171.00,32667.00,35968.00,11815.00,98949.00,13252.00,55245.00,312816.00,13086.00,826759.00
Karnataka,209273.00,113873.00,58694.00,450794.00,305772.00,79105.00,370430.00,34555.00,96042.00,1326322.00,60139.00,3105000.00
Kerala,58150.00,37583.00,6004.00,22381.00,65895.00,41645.00,152873.00,32599.00,27332.00,219284.00,206351.00,870098.00
Madhya Pradesh,171968.00,146715.00,93836.00,349420.00,176710.00,22281.00,260895.00,6217.00,34903.00,735757.00,16983.00,2015684.00
Maharashtra,222617.00,75568.00,20446.00,866371.00,231433.00,19223.00,356586.00,18605.00,52424.00,1335099.00,59306.00,3257678.00
Manipur,6216.00,5409.00,6254.00,29377.00,13495.00,3675.00,11586.00,6646.00,6811.00,72846.00,5695.00,168011.00
Meghalaya,27278.00,15739.00,3516.00,8888.00,51560.00,6398.00,25791.00,4599.00,12360.00,51089.00,3701.00,210919.00
Mizoram,6099.00,3956.00,8092.00,5957.00,7359.00,4539.00,13318.00,4246.00,7993.00,44006.00,5503.00,111069.00
Nagaland,13799.00,11236.00,11730.00,14452.00,5869.00,5286.00,12798.00,3617.00,14228.00,37387.00,5209.00,135611.00
Orissa,71158.00,27690.00,136806.00,164182.00,68393.00,7277.00,142893.00,29945.00,20117.00,328318.00,13788.00,1010567.00
Punjab,44129.00,103193.00,NA,34581.00,235261.00,2800.00,164887.00,2002.00,7339.00,221788.00,16457.00,832437.00
Rajasthan,180411.00,136156.00,51681.00,68353.00,905606.00,22783.00,129146.00,12532.00,10396.00,617142.00,19822.00,2154028.00
Sikkim,4720.00,7615.00,2582.00,4724.00,5921.00,3728.00,5469.00,3341.00,2269.00,41742.00,2053.00,84165.00
Tamil Nadu,137761.00,342420.00,16834.00,52332.00,275664.00,46768.00,196947.00,17923.00,5618.00,947885.00,6325.00,2046477.00
Tripura,13799.00,7044.00,12430.00,4539.00,4011.00,3304.00,21153.00,6720.00,1464.00,63444.00,6196.00,144103.00
Uttar Pradesh,320738.00,354165.00,101958.00,277366.00,610412.00,341525.00,431709.00,13744.00,33304.00,1632951.00,12198.00,4130070.00
Uttarakhand,28517.00,28162.00,NA,35713.00,12776.00,2083.00,95708.00,10535.00,7353.00,167767.00,58895.00,447510.00
West Bengal,67495.00,102844.00,89181.00,30697.00,39904.00,49861.00,83515.00,13103.00,1748.00,687438.00,21662.00,1187448.00
Union Territories Total,19890.00,24623.00,NA,11250.00,44105.00,14108.00,412501.00,16816.00,16109.00,801793.00,49801.00,1410993.00
Andaman and Nicobar Islands,3189.00,5007.00,NA,578.00,4282.00,622.00,29481.00,2698.00,2533.00,31264.00,5330.00,84982.00
Chandigarh,37.00,500.00,NA,37.00,2123.00,82.00,769.00,3167.00,504.00,37841.00,1073.00,46131.00
Dadra and Nagar Haveli,524.00,1198.00,NA,1616.00,2905.00,193.00,5137.00,520.00,1608.00,11525.00,468.00,25695.00
Daman and Diu,694.00,936.00,NA,151.00,2331.00,1034.00,5263.00,160.00,384.00,5067.00,647.00,16666.00
Delhi,NA,11154.00,NA,4863.00,25084.00,2125.00,345049.00,7565.00,830.00,618490.00,33922.00,1049081.00
Lakshadweep,3434.00,427.00,NA,399.00,2466.00,260.00,13957.00,1914.00,676.00,8282.00,371.00,32188.00
Puducherry,12012.00,5401.00,NA,3606.00,4914.00,9792.00,12845.00,792.00,9574.00,89324.00,7990.00,156250.00
